[INFO] [1776322621.510954734] [robot_controller]: Поток клавиатуры запущен.
[INFO] [1776322680.599476169] [robot_controller]: → Подъезжаю... left=3.53 front=1.87
[INFO] [1776322681.101328130] [robot_controller]: → Подъезжаю... left=3.27 front=1.86
[INFO] [1776322681.648712168] [robot_controller]: → Подъезжаю... left=3.85 front=1.80
[INFO] [1776322682.200160124] [robot_controller]: → Подъезжаю... left=3.01 front=1.79
[INFO] [1776322682.748780463] [robot_controller]: → Подъезжаю... left=2.98 front=1.78
[INFO] [1776322683.301318360] [robot_controller]: → Подъезжаю... left=2.97 front=1.79
[INFO] [1776322683.849671984] [robot_controller]: → Подъезжаю... left=2.96 front=1.81
[INFO] [1776322684.398610546] [robot_controller]: → Подъезжаю... left=2.99 front=1.83
[INFO] [1776322684.901379678] [robot_controller]: → Подъезжаю... left=2.65 front=1.87
[INFO] [1776322685.448661405] [robot_controller]: → Подъезжаю... left=2.56 front=1.96
[INFO] [1776322685.999398978] [robot_controller]: → Подъезжаю... left=2.52 front=1.98
[INFO] [1776322686.548667843] [robot_controller]: → Подъезжаю... left=1.69 front=2.11
[INFO] [1776322687.099760503] [robot_controller]: → Подъезжаю... left=1.67 front=2.29
[INFO] [1776322687.648885943] [robot_controller]: → Подъезжаю... left=1.67 front=2.40
[INFO] [1776322688.198622718] [robot_controller]: → Подъезжаю... left=1.69 front=2.67
[INFO] [1776322688.748674968] [robot_controller]: → Подъезжаю... left=1.72 front=5.00
[INFO] [1776322689.298644246] [robot_controller]: → Подъезжаю... left=1.34 front=5.00
[INFO] [1776322689.848612423] [robot_controller]: → Подъезжаю... left=1.26 front=5.00
[INFO] [1776322690.349358161] [robot_controller]: → Подъезжаю... left=1.23 front=2.61
[INFO] [1776322690.851018498] [robot_controller]: → Подъезжаю... left=1.21 front=2.56
[INFO] [1776322691.400489541] [robot_controller]: → Подъезжаю... left=1.20 front=2.55
[INFO] [1776322691.952520821] [robot_controller]: → Подъезжаю... left=2.44 front=2.50
[INFO] [1776322692.498572474] [robot_controller]: → Подъезжаю... left=2.42 front=2.49
[INFO] [1776322692.998610793] [robot_controller]: → Подъезжаю... left=2.42 front=1.76
[INFO] [1776322693.498611963] [robot_controller]: → Подъезжаю... left=1.85 front=1.43
[INFO] [1776322694.003205141] [robot_controller]: → Подъезжаю... left=1.82 front=1.37
[INFO] [1776322694.548774908] [robot_controller]: → Подъезжаю... left=1.76 front=1.27
[INFO] [1776322695.052431631] [robot_controller]: → Подъезжаю... left=1.74 front=1.23
[INFO] [1776322695.598670439] [robot_controller]: → Подъезжаю... left=2.96 front=1.15
[INFO] [1776322696.148579071] [robot_controller]: → Подъезжаю... left=2.94 front=1.12
